511150,Bene-Retirement FPRS,"6,928,534","6,934,852","6,934,852","7,801,035"
511166,Bene-Allowance for Vacancy,0,"-39,189","-39,189","-47,888"
,Sav,,,,
511199,Bene-Adjust,0,"70,252","70,252",0
521202,Contractual-Disposal Fees,"8,244","8,500","8,244","8,500"
521905,Contractual-Other,"196,418","132,000","182,000","324,166"
522110,Maint-Equipment,"24,703","30,000","25,000","30,000"
522130,Maint-Security System,"15,625","4,000","1,200","4,000"
524100,Repairs-Buildings and Grounds,981,"4,000","3,000","4,000"
524999,Repairs-Other,"13,397","19,000","15,000","19,000"
531102,Supp-Fire,"5,720","35,500","10,000","35,500"
531103,Supp-Weapons and Ammunition,345,350,350,350
531301,Supp-Beds and Bedding,0,"6,000",500,"6,000"
531602,Supp-Medical,"61,391","61,000","61,000","61,000"
531701,Supp-Custodial,"22,319","12,000","23,000","12,000"
531910,Supp-Kitchen Equipment,"1,574","1,500","1,500","1,500"
GovMax V5,,,,18-21,
,,"Expenditure Line Item Budget Report grouped by Fund, Business Unit","Expenditure Line Item Budget Report grouped by Fund, Business Unit","Expenditure Line Item Budget Report grouped by Fund, Business Unit",
City of Portsmouth,City of Portsmouth,,,,Fiscal Year 2014
Account,,FY 2012,FY 2013,FY 2013,FY 2014
Code,Account Description,Actual,Adopted,Amended,Budget
,,,General Fund,General Fund,
"0404 Fire, Rescue And Emergency","0404 Fire, Rescue And Emergency",,,,
100-20-301-3020-000000-000 Fire Rescue and Emergency Svcs,100-20-301-3020-000000-000 Fire Rescue and Emergency Svcs,100-20-301-3020-000000-000 Fire Rescue and Emergency Svcs,,,
531914,Supp-Office and Printing,"11,842","17,000","15,000","17,000"
531916,Supp-Protective Clothing,"10,004","53,460","40,000","53,460"
531917,Supp-Uniforms,"69,743","65,000","70,000","65,000"
531999,Supp-Other,"1,943","12,000","4,000","22,000"
532120,Mat-Construction,"1,351","13,000","2,000","13,000"
533010,Noncap-Equipment,"2,428","1,000","2,000","1,000"
533020,Noncap-Furniture,"20,546","3,000","2,930","3,000"
533070,Noncap-Computer Software,"3,994","3,500","3,500","3,500"
535100,Books and Publications,95,"3,000","1,500","3,000"
536110,Dues-Memberships,"1,467","1,500","1,500","1,500"
542010,Tele-Telephone,82,500,84,500
542020,Tele-Telephone Cellular,"38,095","21,498","37,000","21,498"
555210,Travel,"6,270","11,000","9,000","11,000"
555228,Purchase Card,"1,666",0,0,0
610101,Computer Service Charges,"128,110","130,458","130,458","110,656"
610102,Telecommunications Charges,"103,605","68,949","68,949","85,996"
620101,Garage Equip Rental Charges,"977,304","1,010,100","1,010,100","1,010,100"
630101,Risk Management Charges,"618,033","621,028","621,028","628,259"
,100-20-301-3020-000000-000 Fire,"26,838,201","26,671,721","26,671,721","27,118,514"
,"0404 Fire, Rescue And Emergency","26,838,201","26,671,721","26,671,721","27,118,514"
0501 Streets And Highways,0501 Streets And Highways,,,,
100-25-400-4000-000000-000 Streets and Highways,100-25-400-4000-000000-000 Streets and Highways,100-25-400-4000-000000-000 Streets and Highways,,,
501000,Sal-Full-time,"356,849","493,882","493,882","493,886"
501200,Accrued Payroll,575,0,0,0
510000,Sal-Overtime,"1,826","10,000","10,000","10,000"
510005,Allow-On-Call,"1,579","3,238","3,238","2,160"
510099,Sal-Allow for Salary Savings,0,"-23,758","-23,758","-24,695"
511100,Bene-FICA,"25,926","36,349","36,349","37,949"
511115,Bene-Health Insurance,"62,185","95,863","95,863","98,862"
511120,Bene-Dental Insurance,441,432,432,360
511125,Bene-VRS Life Insurance,953,"1,330","1,330","5,905"
511140,Bene-Retirement VRS,"44,100","61,945","61,945","41,023"
511145,Bene-Retirement PSRS,"93,364","89,671","89,671","101,957"
511166,Bene-Allowance for Vacancy,0,"-1,886","-1,886","-2,193"
,Sav,,,,
521201,Contractual-Concrete,"307,898","493,000","493,000","493,000"
521209,Contractual-Street Overlay,"1,548,850","1,149,410","1,149,410","1,399,410"
521905,Contractual-Other,"89,667","18,360","18,360","18,360"
521910,Contractual-Rental Uniforms,"3,311","5,100","5,100","5,100"
523999,Rentals-Other,"12,742","19,500","19,500","19,500"
524999,Repairs-Other,"1,275","2,500","2,500","2,500"
531602,Supp-Medical,0,200,200,200
531914,Supp-Office and Printing,"17,261","1,800","1,800","1,800"
531917,Supp-Uniforms,"2,193","2,040","2,040","2,040"
532120,Mat-Construction,"154,951","142,568","142,568","142,568"
533030,Noncap-Small Tools,712,"2,000","2,000","2,000"
542020,Tele-Telephone Cellular,150,0,0,0
555100,Training,"1,285","5,600","5,600","5,600"
610101,Computer Service Charges,"33,193","34,728","34,728","45,884"
610102,Telecommunications Charges,"17,955","28,390","28,390","20,293"
620101,Garage Equip Rental Charges,"375,000","433,187","433,187","433,187"
630101,Risk Management Charges,"134,221","134,871","134,871","136,558"
100-25-400-4000-000000-000 Streets,100-25-400-4000-000000-000 Streets,"3,288,463","3,240,320","3,240,320","3,493,214"
GovMax V5,,,,18-22,
,,"Expenditure Line Item Budget Report grouped by Fund, Business Unit","Expenditure Line Item Budget Report grouped by Fund, Business Unit","Expenditure Line Item Budget Report grouped by Fund, Business Unit",
City of Portsmouth,City of Portsmouth,,,,Fiscal Year 2014
Account,,FY 2012,FY 2013,FY 2013,FY 2014
Code,Account Description,Actual,Adopted,Amended,Budget
,,,General Fund,General Fund,
,0501 Streets And Highways,"3,288,463","3,240,320","3,240,320","3,493,214"
0503 Mosquito Control,0503 Mosquito Control,,,,
100-25-400-4001-000000-000 Mosquito Control,100-25-400-4001-000000-000 Mosquito Control,100-25-400-4001-000000-000 Mosquito Control,,,
501000,Sal-Full-time,"103,502","146,037","146,037","146,038"
501200,Accrued Payroll,35,0,0,0
510000,Sal-Overtime,504,"19,000","19,000","19,000"
510099,Sal-Allow for Salary Savings,0,"-7,042","-7,042","-7,303"
511100,Bene-FICA,"7,758","10,773","10,773","11,173"
511115,Bene-Health Insurance,"12,058","22,961","22,961","25,012"
511120,Bene-Dental Insurance,66,48,48,52
511125,Bene-VRS Life Insurance,269,395,395,"1,738"
511140,Bene-Retirement VRS,"12,736","18,658","18,658","12,076"
511145,Bene-Retirement PSRS,"19,633","19,114","19,114","21,597"
511166,Bene-Allowance for Vacancy,0,-558,-558,-646
,Sav,,,,
521905,Contractual-Other,"11,965","64,930","64,930","64,930"
521910,Contractual-Rental Uniforms,"1,333","1,805","1,805","1,805"
524999,Repairs-Other,0,"5,000","5,000","5,000"
531904,Supp-Chemicals,"74,885","56,323","56,323","97,680"
531914,Supp-Office and Printing,986,"1,000","1,000","1,000"
531999,Supp-Other,"1,652","15,000","15,000","15,000"
532120,Mat-Construction,"1,480","2,500","2,500","2,500"
536110,Dues-Memberships,205,460,460,460
542020,Tele-Telephone Cellular,"1,482","2,600","2,600","2,600"
555100,Training,270,"3,000","3,000","3,000"
610101,Computer Service Charges,"5,288","5,388","5,388","6,785"
610102,Telecommunications Charges,937,994,994,"1,464"
620101,Garage Equip Rental Charges,"35,004","43,800","43,800","43,800"
630101,Risk Management Charges,"9,874","9,921","9,921","10,033"
100-25-400-4001-000000-000 Mosquito,100-25-400-4001-000000-000 Mosquito,"301,921","442,107","442,107","484,794"
,0503 Mosquito Control,"301,921","442,107","442,107","484,794"
0504 Engineering,0504 Engineering,,,,
100-25-401-4020-000000-000 Engineering,100-25-401-4020-000000-000 Engineering,,,,
501000,Sal-Full-time,"686,328","877,550","877,550","814,201"
501100,Sal-Part-time,0,"3,120","3,120","3,120"
501200,Accrued Payroll,"13,485",0,0,0
510000,Sal-Overtime,"1,872","26,500","26,500","26,500"
510099,Sal-Allow for Salary Savings,0,"-41,786","-41,786","-40,709"
511100,Bene-FICA,"49,590","61,924","61,924","62,290"
511115,Bene-Health Insurance,"61,639","94,483","94,483","101,922"
511120,Bene-Dental Insurance,429,444,444,332
511125,Bene-VRS Life Insurance,"1,494","1,961","1,961","9,688"
511140,Bene-Retirement VRS,"74,933","98,356","98,356","60,918"
511145,Bene-Retirement PSRS,"95,082","103,010","103,010","122,424"
511166,Bene-Allowance for Vacancy,0,"-3,194","-3,194","-3,585"
,Sav,,,,
521905,Contractual-Other,"11,787","30,000","30,000","30,000"
522115,Maint-Office Equipment,"1,129","2,750","2,750","2,300"
531914,Supp-Office and Printing,"4,225","3,325","3,325","4,200"
531917,Supp-Uniforms,131,420,420,420
531999,Supp-Other,"1,046","1,140","1,140","1,140"
535100,Books and Publications,106,190,190,200
536110,Dues-Memberships,"1,184","1,615","1,615","1,600"
542020,Tele-Telephone Cellular,"3,069","4,320","4,320","4,000"
555100,Training,"1,305","3,000","3,000","3,000"
GovMax V5,,,,18-23,
,,"Expenditure Line Item Budget Report grouped by Fund, Business Unit","Expenditure Line Item Budget Report grouped by Fund, Business Unit","Expenditure Line Item Budget Report grouped by Fund, Business Unit",
City of Portsmouth,City of Portsmouth,,,,Fiscal Year 2014
Account,,FY 2012,FY 2013,FY 2013,FY 2014
Code,Account Description,Actual,Adopted,Amended,Budget
,,,General Fund,General Fund,
0504 Engineering,0504 Engineering,,,,
100-25-401-4020-000000-000 Engineering,100-25-401-4020-000000-000 Engineering,,,,
555210,Travel,16,600,600,500
610101,Computer Service Charges,"39,069","40,842","40,842","46,374"
610102,Telecommunications Charges,"12,494","12,585","12,585","13,430"
620101,Garage Equip Rental Charges,"54,996","72,198","72,198","72,198"
630101,Risk Management Charges,"24,698","24,818","24,818","25,086"
,100-25-401-4020-000000-000,"1,140,105","1,420,171","1,420,171","1,361,549"
,0504 Engineering,"1,140,105","1,420,171","1,420,171","1,361,549"
0505 Traffic Engineering,0505 Traffic Engineering,,,,
100-25-401-4021-000000-000 Traffic Engineering,100-25-401-4021-000000-000 Traffic Engineering,100-25-401-4021-000000-000 Traffic Engineering,,,
501000,Sal-Full-time,"323,476","359,970","359,970","355,205"
501200,Accrued Payroll,"1,096",0,0,0
510000,Sal-Overtime,"10,647","18,000","18,000","18,000"
510005,Allow-On-Call,"6,194","9,711","9,711","5,400"
510099,Sal-Allow for Salary Savings,0,"-13,362","-13,362","-17,760"
511100,Bene-FICA,"24,313","26,148","26,148","27,587"
511115,Bene-Health Insurance,"50,599","61,821","61,821","68,534"
511120,Bene-Dental Insurance,288,288,288,240
511125,Bene-VRS Life Insurance,867,956,956,"4,292"
511140,Bene-Retirement VRS,"40,802","45,292","45,292","29,822"
511145,Bene-Retirement PSRS,"111,442","86,700","86,700","98,009"
511166,Bene-Allowance for Vacancy,0,"-1,354","-1,354","-1,596"
,Sav,,,,
521905,Contractual-Other,"3,111","12,000","12,000","15,000"
521910,Contractual-Rental Uniforms,"3,580","4,500","4,500","4,500"
531602,Supp-Medical,0,200,200,150
531914,Supp-Office and Printing,"1,774","2,000","2,000","1,500"
531920,Supp-Wearing Apparel,219,600,600,"1,100"
531999,Supp-Other,217,400,400,400
532170,Mat-Traffic Signs,"77,632","80,299","80,299","80,299"
532190,Mat-Traffic Signals,"72,310","77,539","77,539","77,539"
536110,Dues-Memberships,543,300,300,500
541060,Util-Street Lighting,"1,490,858","1,654,000","1,654,000","1,654,000"
541070,Util-Traffic Signals,"59,544","86,000","86,000","86,000"
542020,Tele-Telephone Cellular,"1,484","1,800","1,800","1,500"
555100,Training,0,"1,100","1,100","1,250"
610101,Computer Service Charges,"16,603","17,082","17,082","19,853"
610102,Telecommunications Charges,"9,341","15,206","15,206","11,195"
620101,Garage Equip Rental Charges,"99,996","111,653","111,653","111,653"
630101,Risk Management Charges,"62,058","62,359","62,359","62,434"
100-25-401-4021-000000-000 Traffic,100-25-401-4021-000000-000 Traffic,"2,468,994","2,721,208","2,721,208","2,716,606"
,0505 Traffic Engineering,"2,468,994","2,721,208","2,721,208","2,716,606"
0507 Property Management,0507 Property Management,,,,
100-25-402-4040-000000-000 Properties Management,100-25-402-4040-000000-000 Properties Management,100-25-402-4040-000000-000 Properties Management,,,
501000,Sal-Full-time,"1,257,981","1,450,717","1,450,717","1,349,041"
501100,Sal-Part-time,"21,007",0,0,0
501200,Accrued Payroll,"8,955",0,0,0
510000,Sal-Overtime,"6,358","10,000","10,000","10,000"
510005,Allow-On-Call,"9,720","12,948","12,948","9,720"
510099,Sal-Allow for Salary Savings,0,"-69,075","-69,075","-67,453"
511100,Bene-FICA,"93,618","105,178","105,178","103,943"
511115,Bene-Health Insurance,"198,020","238,840","238,840","264,700"
GovMax V5,,,,18-24,
,"Expenditure Line Item Budget Report grouped by Fund, Business Unit","Expenditure Line Item Budget Report grouped by Fund, Business Unit","Expenditure Line Item Budget Report grouped by Fund, Business Unit","Expenditure Line Item Budget Report grouped by Fund, Business Unit",
City of Portsmouth,,,,,Fiscal Year 2014
Account,,FY 2012,FY 2013,FY 2013,FY 2014
Code,Account Description,Actual,Adopted,Amended,Budget
,,,General Fund,General Fund,
0507 Property Management,,,,,
100-25-402-4040-000000-000 Properties Management,100-25-402-4040-000000-000 Properties Management,100-25-402-4040-000000-000 Properties Management,,,
511120,Bene-Dental Insurance,"1,237","1,296","1,296",948
511125,Bene-VRS Life Insurance,"3,326","3,849","3,849","16,166"
511140,Bene-Retirement VRS,"157,133","182,165","182,165","112,369"
511145,Bene-Retirement PSRS,"77,516","76,523","76,523","86,929"
511166,Bene-Allowance for Vacancy,0,"-5,452","-5,452","-5,969"
,Sav,,,,
521101,Contractual-Fire Systems,"12,640","16,800","16,800","18,000"
521205,Contractual-Pest Control,"23,528","20,000","20,000","22,000"
521702,Contractual-Elevator,"38,816","49,800","49,800","50,000"
521703,Contractual-Environmental,"1,286","10,000","10,000","10,000"
,Mgmt,,,,
521905,Contractual-Other,"457,809","709,000","709,000","807,000"
521910,Contractual-Rental Uniforms,"19,389","20,000","20,000","20,000"
522999,Maint-Other,"1,683","80,000","80,000","80,000"
524100,Repairs-Buildings and Grounds,"190,010","185,000","185,000","188,000"
524999,Repairs-Other,"1,131","1,000","1,000","1,000"
525100,Training-Defensive Driving,0,100,100,0
531102,Supp-Fire,"2,446","12,920","12,920","15,000"
531202,Supp-Plumbing,"32,286","32,000","32,000","32,000"
531701,Supp-Custodial,"91,444","74,000","74,000","74,000"
531904,Supp-Chemicals,0,"1,000","1,000","1,000"
531909,Supp-Glass,"3,943","4,000","4,000","4,000"
531914,Supp-Office and Printing,"13,440","6,000","6,000","6,000"
531920,Supp-Wearing Apparel,"6,254","2,700","2,700","2,700"
531999,Supp-Other,"33,613","50,350","50,350","50,000"
532120,Mat-Construction,"93,466","60,000","60,000","60,000"
532130,Mat-Electrical,"49,886","60,000","60,000","60,000"
533030,Noncap-Small Tools,0,"1,500","1,500","1,500"
542020,Tele-Telephone Cellular,"3,942","6,000","6,000","6,000"
555100,Training,"1,234","2,000","2,000","2,000"
610101,Computer Service Charges,"27,154","27,905","27,905","41,265"
610102,Telecommunications Charges,"10,020","15,869","15,869","12,883"
620101,Garage Equip Rental Charges,"204,506","217,364","217,364","217,364"
630101,Risk Management Charges,"83,458","83,862","83,862","84,793"
,100-25-402-4040-000000-000,"3,238,255","3,756,159","3,756,159","3,746,899"
100-25-402-4044-000000-000 Storeroom,100-25-402-4044-000000-000 Storeroom,,,,
538900,Storeroom Purchases,"136,965","150,000","150,000","150,000"
538950,Storeroom Recoveries,"-125,895","-150,000","-150,000","-150,000"
,100-25-402-4044-000000-000,"11,070",0,0,0
,0507 Property Management,"3,249,325","3,756,159","3,756,159","3,746,899"
0508 Utilities,,,,,
100-25-402-4041-000000-000 Utilities,100-25-402-4041-000000-000 Utilities,,,,
541010,Util-Electricity,"1,283,138","1,335,000","1,335,000","1,500,000"
541020,Util-Water and Sewer,"243,932","256,500","256,500","315,000"
541050,Util-Stormwater Fees,"487,881","188,000","188,000","500,000"
543020,Fuel-Natural Gas,"246,406","390,000","390,000","384,500"
543030,Fuel-Oil,0,"5,000","5,000",0
100-25-402-4041-000000-000 Utilities,100-25-402-4041-000000-000 Utilities,"2,261,358","2,174,500","2,174,500","2,699,500"
,0508 Utilities,"2,261,358","2,174,500","2,174,500","2,699,500"
GovMax V5,,,,18-25,
,,"Expenditure Line Item Budget Report grouped by Fund, Business Unit","Expenditure Line Item Budget Report grouped by Fund, Business Unit","Expenditure Line Item Budget Report grouped by Fund, Business Unit",
City of Portsmouth,City of Portsmouth,,,,Fiscal Year 2014
Account,,FY 2012,FY 2013,FY 2013,FY 2014
Code,Account Description,Actual,Adopted,Amended,Budget
,,,General Fund,General Fund,
0509 Rental Of Land,0509 Rental Of Land,,,,
100-25-402-4042-000000-000 Rental of Land,100-25-402-4042-000000-000 Rental of Land,,,,
523110,Rentals-Commonwealths,"215,030","55,370","55,370",0
,Attorney,,,,
523125,Rentals-Cradock Library,"41,140","61,200","61,200","63,036"
523130,Rentals-Economic Development,"38,641","39,923","39,923","41,121"
523135,Rentals-Fire Admin,0,"90,000","90,000","90,000"
523150,Rentals-Police Admin,"57,766","58,247","58,247","58,247"
523155,Rentals-Police Detective Bur,"89,424","91,212","91,212","93,036"
523160,Rentals-Police Internal Affrs,"195,315","33,457","33,457","33,457"
523165,Rentals-Sheriff Training Acad,"89,592","90,818","90,818","93,543"
523175,Rentals-Sheriff Admin,"96,244","129,845","129,845","28,317"
523195,Rentals-Police Training,0,"150,000","150,000","150,000"
523210,Rentals-Registrar,0,"4,000","4,000","4,000"
100-25-402-4042-000000-000 Rental of,100-25-402-4042-000000-000 Rental of,"823,152","804,072","804,072","654,757"
,0509 Rental Of Land,"823,152","804,072","804,072","654,757"
0514 Harbor Center Pavilion,0514 Harbor Center Pavilion,,,,
100-25-402-4043-000000-000 Harbor Center Pavilion,100-25-402-4043-000000-000 Harbor Center Pavilion,100-25-402-4043-000000-000 Harbor Center Pavilion,,,
501000,Sal-Full-time,"68,671","66,737","66,737","69,130"
501200,Accrued Payroll,116,0,0,0
510099,Sal-Allow for Salary Savings,0,"-3,270","-3,270","-3,457"
511100,Bene-FICA,"5,200","5,003","5,003","5,288"
511115,Bene-Health Insurance,"5,493","8,858","8,858","6,253"
511120,Bene-Dental Insurance,12,12,12,12
511125,Bene-VRS Life Insurance,183,183,183,823
511140,Bene-Retirement VRS,"8,666","8,666","8,666","5,717"
511166,Bene-Allowance for Vacancy,0,-259,-259,-306
,Sav,,,,
521101,Contractual-Fire Systems,"1,945","4,500","4,500","4,500"
521205,Contractual-Pest Control,720,"3,000","3,000","3,000"
521905,Contractual-Other,"105,553","91,000","91,000","91,000"
521906,Contractual-Parking Aids,"20,646","25,000","25,000","25,000"
524100,Repairs-Buildings and Grounds,"19,044","17,000","17,000","17,000"
531202,Supp-Plumbing,472,"1,000","1,000","1,000"
531701,Supp-Custodial,"10,342","12,000","12,000","12,000"
531914,Supp-Office and Printing,0,200,200,0
531999,Supp-Other,"8,759",0,0,0
532120,Mat-Construction,"2,261","8,000","8,000","8,000"
532130,Mat-Electrical,"5,218","2,500","2,500","2,500"
532140,Mat-HVAC,0,"4,000","4,000","4,000"
533030,Noncap-Small Tools,0,500,500,500
537100,Trees Shrubs and Flowers,"2,309","5,000","5,000","5,000"
541010,Util-Electricity,"27,266","28,000","28,000","28,000"
541020,Util-Water and Sewer,"60,146","12,000","12,000","12,000"
541050,Util-Stormwater Fees,0,"4,000","4,000","4,000"
542010,Tele-Telephone,"14,230","12,000","12,000","12,000"
543020,Fuel-Natural Gas,"1,657","8,000","8,000","8,000"
620101,Garage Equip Rental Charges,"27,114","26,954","26,954","26,954"
